player_id,player_name,season,league,team,minutes_played,age,role_source_column,role_source_value,role_model_family,arbitrated_position,arbitrated_role_group,arbitrated_lane,arbitrated_confidence,position_conflict_flag,season_avg_x,season_avg_y,season_position_zone,spatial_matches_used,spatial_wide_pct,spatial_right_pct,spatial_left_pct,spatial_high_wide_pct,primary_role,secondary_role,role_score,role_bvalue,confidence,cohort_size,warning,measured_metrics_available,measured_metrics_possible,partial_proxies_available,partial_proxies_possible,measured_inputs,partial_proxies,unmeasured_traits
963043,Kristoffer Lund,2025-26,Bundesliga,1. FC Köln,2289.0,24.0,arbitrated_role_group,FB,FB,LB,FB,Left Fullback,0.81,True,46.070269696969696,82.08296060606061,mid_left,33.0,0.9697,0.0,0.9697,0.0,Pressing Full-Back,Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
1800475,Said El Mala,2025-26,Bundesliga,1. FC Köln,1957.0,19.0,arbitrated_role_group,AM-W,W,LW,AM-W,Left Wide Forward,0.82,True,67.57921764705883,74.18727352941175,high_left,34.0,0.7647,0.0,0.7647,0.7353,Inside Forward,Wide Forward,92.88,0.8576,0.567,872,,4.0,6.0,0.0,0.0,"shots_total_per90, xg_per90, goals_per90, dribbles_attempted_per90",,"composure, flair, vision, off the ball, pace"
1112327,Ísak Bergmann Jóhannesson,2025-26,Bundesliga,1. FC Köln,1812.0,23.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,51.78745806451613,45.92147096774193,mid_central,31.0,0.0323,0.0323,0.0,0.0,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
953097,Cenk Özkaçar,2025-26,Bundesliga,1. FC Köln,1801.0,25.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.82,True,37.969916,73.526336,deep_left,25.0,0.96,0.0,0.96,0.0,Wide Centre-Back,Centre-Back,72.49,0.4498,0.567,886,,4.0,6.0,0.0,1.0,"progressive_carries_per90, carry_distance_per90, crosses_total_per90, duels_won_per90",,"pace, stamina, agility, work rate, wide defending"
930272,Tom Krauß,2025-26,Bundesliga,1. FC Köln,1801.0,24.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,45.45688846153847,50.8188,mid_central,26.0,0.2692,0.1154,0.1538,0.0,Pressing Central Midfielder,Central Midfielder,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
877544,Ragnar Ache,2025-26,Bundesliga,1. FC Köln,1725.0,27.0,arbitrated_role_group,ST,ST,ST,ST,Central Forward,0.86,True,61.98123103448276,50.26206206896551,high_central,29.0,0.0,0.0,0.0,0.0,Target Forward,Centre Forward,84.36,0.6871,1.0,859,,5.0,5.0,1.0,1.0,"aerial_duels_won_per90, aerial_duels_total_per90, duels_won_per90, fouls_drawn_per90, xg_per90",height_cm,"strength, jumping, balance, bravery, hold-up technique"
378340,Marius Bulter,2025-26,Bundesliga,1. FC Köln,1606.0,33.0,arbitrated_role_group,ST,ST,ST,ST,Central Forward,0.86,True,63.554509375,62.471421875,high_central,32.0,0.4062,0.0,0.4062,0.3125,Deep-Lying Forward,False Nine,82.66,0.6533,0.708,859,,5.0,6.0,0.0,0.0,"key_passes_per90, xa_per90, assists_per90, passes_total_per90, touches_per90",,"first touch, technique, composure, decisions, vision"
1010726,Jan Thielmann,2025-26,Bundesliga,1. FC Köln,1553.0,24.0,arbitrated_role_group,WB,WB,RWB,WB,Right Wing Back,0.81,True,52.217865384615386,30.00663846153846,mid_right,26.0,0.7308,0.6923,0.0385,0.1538,Advanced Wing-Back,Playmaking Wing-Back,42.26,-0.1548,0.607,356,,5.0,7.0,0.0,1.0,"crosses_accurate_per90, dribbles_attempted_per90, progressive_carries_per90, xa_per90, key_passes_per90",,"acceleration, agility, pace, stamina, off the ball"
1014493,Rav van den Berg,2025-26,Bundesliga,1. FC Köln,1138.0,21.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,34.25996428571428,47.12063571428571,deep_central,14.0,0.0714,0.0,0.0714,0.0,No-Nonsense Centre-Back,Ball-Playing Centre-Back,55.98,0.1196,0.234,886,,2.0,4.0,0.0,0.0,"blocked_shots_per90, aerial_duels_won_per90",,"marking, positioning, jumping, strength, bravery"
965950,Joel Schmied,2025-26,Bundesliga,1. FC Köln,1080.0,27.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.82,True,37.265925,26.94688125,deep_right,16.0,0.8125,0.8125,0.0,0.0,No-Nonsense Centre-Back,Centre-Back,42.77,-0.1445,0.234,886,,2.0,4.0,0.0,0.0,"blocked_shots_per90, aerial_duels_won_per90",,"marking, positioning, jumping, strength, bravery"
921033,Linton Maina,2025-26,Bundesliga,1. FC Köln,1029.0,26.0,arbitrated_role_group,AM-W,W,LW,AM-W,Left Wide Forward,0.82,True,59.3027625,51.456025,high_central,24.0,0.4167,0.1667,0.25,0.25,Playmaking Winger,Inside Winger,46.53,-0.0694,0.708,872,,5.0,6.0,0.0,0.0,"key_passes_per90, xa_per90, crosses_accurate_per90, dribbles_attempted_per90, passes_opposition_half_total_per90",,"vision, technique, decisions, composure, flair"
1402924,Jahmai Simpson-Pusey,2025-26,Bundesliga,1. FC Köln,866.0,20.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,35.75557272727273,48.52479090909091,deep_central,11.0,0.2727,0.0909,0.1818,0.0,Ball-Playing Centre-Back,No-Nonsense Centre-Back,70.42,0.4084,0.607,886,,5.0,7.0,0.0,0.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, total_progression_per90, carries_per90",,"composure, decisions, vision, technique, first touch, positioning"
1064842,Denis Huseinbašić,2025-26,Bundesliga,1. FC Köln,737.0,24.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,47.139206666666674,57.021613333333335,mid_central,15.0,0.0,0.0,0.0,0.0,Pressing Central Midfielder,Central Midfielder,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
319861,Luca Waldschmidt,2025-26,Bundesliga,1. FC Köln,684.0,30.0,arbitrated_role_group,ST-SS,ST,SS,ST-SS,Central Support Forward,0.84,True,57.42434166666666,36.66214583333333,mid_central,24.0,0.25,0.25,0.0,0.0417,Deep-Lying Forward,Poacher,91.59,0.8318,0.708,859,,5.0,6.0,0.0,0.0,"key_passes_per90, xa_per90, assists_per90, passes_total_per90, touches_per90",,"first touch, technique, composure, decisions, vision"
387220,Timo Hubers,2025-26,Bundesliga,1. FC Köln,669.0,29.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,33.8195875,53.668525,deep_central,8.0,0.25,0.125,0.125,0.0,Centre-Back,Wide Centre-Back,63.25,0.2649,0.575,886,,3.0,6.0,1.0,1.0,"blocked_shots_per90, aerial_duels_won_per90, duels_won_per90",height_cm,"marking, anticipation, positioning, jumping, strength, bravery, concentration"
136922,Dominique Heintz,2025-26,Bundesliga,1. FC Köln,398.0,32.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.82,True,36.84974444444444,67.24933333333334,deep_left,9.0,0.5556,0.0,0.5556,0.0,Ball-Playing Centre-Back,No-Nonsense Centre-Back,80.02,0.6004,0.607,886,,5.0,7.0,0.0,0.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, total_progression_per90, carries_per90",,"composure, decisions, vision, technique, first touch, positioning"
78781,Florian Kainz,2025-26,Bundesliga,1. FC Köln,276.0,33.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,57.14512142857143,58.44542142857143,mid_central,14.0,0.6429,0.2143,0.4286,0.5,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
2197599,Youssoupha Niang,2025-26,Bundesliga,1. FC Köln,214.0,20.0,arbitrated_role_group,AM-W,W,RW,AM-W,Right Wide Forward,0.87,True,58.905344444444445,26.990477777777777,high_right,9.0,0.6667,0.6667,0.0,0.3333,Wide Forward,Inside Forward,39.03,-0.2194,0.567,872,,4.0,6.0,0.0,1.0,"shots_total_per90, xg_per90, dribbles_attempted_per90, progressive_carries_per90",,"off the ball, pace, acceleration, agility, anticipation"
2245371,Fynn Schenten,2025-26,Bundesliga,1. FC Köln,118.0,18.0,arbitrated_role_group,AM-W,W,RW,AM-W,Right Wide Forward,0.82,True,70.1591,49.783257142857146,high_central,7.0,0.5714,0.2857,0.2857,0.5714,Winger,Playmaking Winger,42.56,-0.1489,0.607,872,,5.0,7.0,0.0,1.0,"crosses_total_per90, crosses_accurate_per90, key_passes_per90, xa_per90, progressive_carries_per90",,"pace, acceleration, agility, flair, off the ball"
