blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Pass,75.5,82.2,,,1983546,60,,Successful,"{'Longball': True, 'Zone': 'Left', 'PassEndX': '75.5', 'PassEndY': '82.2', 'Length': '34.7', 'Angle': '1.38'}","[91, 119, 117, 127, 205, 36, 37, 217, 218]",20,Pass,69.1,32.1
,,BallTouch,,,,,1983546,60,,Successful,"{'Zone': 'Center', 'KeyPass': True}","[91, 123, 40, 46]",29,BallTouch,85.5,60.3
,,Foul,,,,,1983546,61,,Successful,"{'Foul': True, 'Zone': 'Back', 'OppositeRelatedEvent': '401', 'Defensive': True}","[91, 63]",30,Foul,31.8,58.7
,,Pass,35.8,63.6,,,1983546,62,,Successful,"{'Zone': 'Back', 'PassEndX': '35.8', 'PassEndY': '63.6', 'Length': '27.5', 'Angle': '1.67'}","[91, 117, 30, 35, 37, 216, 218]",13,Pass,38.4,23.4
,,Pass,58.2,17.2,,,1983546,62,,Successful,"{'Zone': 'Right', 'PassEndX': '58.2', 'PassEndY': '17.2', 'Length': '11.9', 'Angle': '5.57'}","[91, 119, 117, 30, 36, 38, 216, 218]",26,Pass,49.6,28.6
,,Pass,87.9,33.1,,,1983546,62,,Unsuccessful,"{'Zone': 'Center', 'PassEndX': '87.9', 'PassEndY': '33.1', 'Chipped': True, 'Length': '21.7', 'Angle': '0.06'}","[91, 120, 29, 124, 36, 37, 217, 218]",37,Pass,67.3,31.3
,,Pass,64.1,20.1,,,1983546,62,,Successful,"{'HeadPass': True, 'Zone': 'Right', 'PassEndX': '64.1', 'PassEndY': '20.1', 'Length': '7.3', 'Angle': '4.33'}","[91, 119, 117, 30, 139, 35, 38, 216, 218]",43,Pass,66.7,30.1
,,Pass,61.2,20.8,,,1983546,62,,Successful,"{'Zone': 'Right', 'PassEndX': '61.2', 'PassEndY': '20.8', 'Length': '7.7', 'Angle': '4.14'}","[91, 119, 117, 30, 35, 38, 216, 218]",45,Pass,65.2,30.3
,,Pass,38.8,36.9,,,1983546,63,,Successful,"{'Zone': 'Back', 'PassEndX': '38.8', 'PassEndY': '36.9', 'LayOff': True, 'Length': '10.8', 'Angle': '2.47'}","[91, 117, 30, 35, 37, 216, 218]",42,Pass,46.9,27.0
,,Pass,37.6,35.8,,,1983546,63,,Successful,"{'Zone': 'Back', 'PassEndX': '37.6', 'PassEndY': '35.8', 'Length': '6.7', 'Angle': '2.85'}","[91, 117, 30, 35, 37, 216, 218]",44,Pass,43.7,33.0
,,Pass,68.2,95.2,,,1983546,63,,Successful,"{'Zone': 'Left', 'PassEndX': '68.2', 'PassEndY': '95.2', 'Length': '30.4', 'Angle': '1.00'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",56,Pass,52.5,57.6
,,Pass,66.0,60.1,,,1983546,65,,Successful,"{'Zone': 'Center', 'PassEndX': '66.0', 'PassEndY': '60.1', 'Length': '19.2', 'Angle': '1.55'}","[91, 119, 117, 30, 36, 37, 216, 218]",54,Pass,65.7,31.8
,,Pass,77.0,3.7,,,1983546,70,,Successful,"{'Zone': 'Right', 'PassEndX': '77.0', 'PassEndY': '3.7', 'Length': '10.8', 'Angle': '5.67'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",1,Pass,68.6,12.9
,,BallRecovery,,,,,1983546,70,,Successful,{},[93],40,BallRecovery,57.4,5.5
,,Pass,60.3,23.1,,,1983546,70,,Successful,"{'Zone': 'Center', 'PassEndX': '60.3', 'PassEndY': '23.1', 'Length': '11.4', 'Angle': '1.63'}","[91, 119, 117, 30, 35, 37, 216, 218]",41,Pass,60.9,6.3
,,Pass,45.8,13.5,,,1983546,71,,Successful,"{'Zone': 'Back', 'PassEndX': '45.8', 'PassEndY': '13.5', 'Length': '18.5', 'Angle': '2.93'}","[91, 117, 30, 35, 37, 216, 218]",2,Pass,63.0,7.9
,,Pass,40.2,31.0,,,1983546,71,,Successful,"{'Zone': 'Back', 'PassEndX': '40.2', 'PassEndY': '31.0', 'Length': '10.2', 'Angle': '0.88'}","[91, 117, 30, 36, 37, 216, 218]",28,Pass,34.0,19.5
,,Pass,28.4,47.8,,,1983546,71,,Successful,"{'Zone': 'Back', 'PassEndX': '28.4', 'PassEndY': '47.8', 'Length': '13.2', 'Angle': '1.91'}","[91, 117, 30, 35, 37, 215, 218]",31,Pass,32.6,29.5
92.5,49.6,SavedShot,,,51.7,19.0,1983546,71,,Successful,"{'OutOfBoxCentre': True, 'RegularPlay': True, 'Assisted': True, 'RelatedEventId': '722', 'Zone': 'Center', 'LeftFoot': True, 'LowCentre': True, 'Blocked': True, 'GoalMouthY': '51.7', 'GoalMouthZ': '19.0', 'BlockedX': '92.5', 'BlockedY': '49.6', 'IndividualPlay': True, 'OppositeRelatedEvent': '451'}","[91, 10, 2, 3, 11, 13]",55,SavedShot,80.9,46.4
,,Pass,70.7,59.5,,,1983546,72,,Successful,"{'Zone': 'Center', 'PassEndX': '70.7', 'PassEndY': '59.5', 'Length': '19.8', 'Angle': '1.70'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",7,Pass,73.2,30.7
,,Carry,73.9,16.8,,,1983546,31,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 11.55, 'gap_seconds': 8}",[],24,Carry,84.4,12.0
,,Carry,68.5,24.1,,,1983546,31,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 22.64, 'gap_seconds': 6}",[],32,Carry,83.9,7.5
,,Carry,55.5,9.3,,,1983546,32,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 9.17, 'gap_seconds': 5}",[],20,Carry,51.2,17.4
,,Carry,81.9,23.5,,,1983546,36,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 13.5, 'gap_seconds': 5}",[],52,Carry,87.0,36.0
,,Carry,100.0,28.9,,,1983546,44,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 21.63, 'gap_seconds': 1}",[],33,Carry,93.4,49.5
,,Carry,79.8,29.4,,,1983546,45,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 20.21, 'gap_seconds': 4}",[],20,Carry,95.1,16.2
,,Carry,90.4,37.2,,,1983546,45,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 13.16, 'gap_seconds': 3}",[],24,Carry,79.8,29.4
,,Carry,91.1,40.1,,,1983546,48,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 28.72, 'gap_seconds': 7}",[],12,Carry,83.5,12.4
,,Carry,80.0,11.1,,,1983546,51,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 5.44, 'gap_seconds': 2}",[],36,Carry,75.4,8.2
,,Carry,55.0,19.5,,,1983546,52,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 13.65, 'gap_seconds': 1}",[],36,Carry,57.0,6.0
,,Carry,53.1,48.3,,,1983546,52,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 18.12, 'gap_seconds': 7}",[],37,Carry,47.7,65.6
,,Carry,76.0,20.7,,,1983546,59,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 9.93, 'gap_seconds': 4}",[],24,Carry,78.9,11.2
,,Carry,69.9,29.3,,,1983546,59,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 5.22, 'gap_seconds': 8}",[],28,Carry,75.0,30.4
,,Carry,74.9,18.2,,,1983546,59,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 11.96, 'gap_seconds': 4}",[],36,Carry,85.3,12.3
,,Carry,66.7,30.1,,,1983546,62,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 21.41, 'gap_seconds': 6}",[],37,Carry,87.9,33.1
