category,distance,end_x,end_y,gap_seconds,match_id,minute,note,outcome,second,start_minute,start_second,type,x,y
carries,40.32,81.4,13.4,7,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,3,54,,60.7,48.0
carries,15.94,70.8,30.3,8,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,4,1,,75.9,15.2
carries,10.04,69.7,28.0,6,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,4,9,,61.8,34.2
carries,19.85,55.7,17.7,5,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,16,24,,68.1,2.2
carries,23.93,37.4,20.8,4,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,29,16,,53.5,3.1
carries,10.8,69.4,82.9,7,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,40,8,,60.7,76.5
carries,16.89,25.9,16.6,8,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,42,48,,20.5,32.6
carries,6.7,14.6,15.2,2,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,42,57,,21.3,15.2
carries,10.45,62.5,71.7,4,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,47,8,,58.6,81.4
carries,9.86,54.9,14.6,4,1983558,,"derived (gap+distance heuristic), not a native WhoScored event",,,66,8,,53.8,24.4
passes,,38.2,7.7,,1983568,0,,Successful,27,,,Pass,40.4,12.4
passes,,40.5,76.3,,1983568,2,,Successful,14,,,Pass,48.7,52.8
passes,,93.7,42.1,,1983568,4,,Successful,15,,,Pass,85.6,8.3
passes,,60.0,22.7,,1983568,6,,Unsuccessful,27,,,Pass,43.1,30.0
passes,,92.3,20.7,,1983568,7,,Successful,2,,,Pass,77.7,23.5
passes,,78.0,29.7,,1983568,9,,Successful,55,,,Pass,72.5,23.2
passes,,72.5,38.8,,1983568,13,,Unsuccessful,4,,,Pass,43.2,59.2
passes,,40.0,17.3,,1983568,13,,Successful,39,,,Pass,45.4,31.7
passes,,61.6,74.1,,1983568,14,,Successful,39,,,Pass,44.7,50.7
passes,,95.8,56.2,,1983568,14,,Successful,53,,,Pass,80.6,31.0
passes,,74.7,6.0,,1983568,15,,Successful,18,,,Pass,63.7,26.2
passes,,54.4,49.2,,1983568,15,,Successful,24,,,Pass,68.6,14.7
passes,,72.8,42.3,,1983568,16,,Unsuccessful,36,,,Pass,59.5,42.3
passes,,96.3,31.5,,1983568,17,,Successful,14,,,Pass,81.3,29.7
passes,,92.3,5.6,,1983568,17,,Successful,26,,,Pass,86.6,0.0
passes,,82.9,4.5,,1983568,17,,Successful,29,,,Pass,84.6,11.6
passes,,63.8,13.6,,1983568,17,,Successful,34,,,Pass,85.3,7.2
